,id,lang,text,negative,positive,neutral
149,1623282229857390597,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
150,1623282158063464448,EN,RT @Leah_WarriorNun: Hey @netflix remember this show you decided to prematurely cancel? Cause it has a “small audience” &amp; a “big budget”! Y…,-2,2,-1
152,1623282104736927746,EN,RT @icameisawiTV: Hello @netflix still ignoring the fact that #WarriorNun is 1 of 2 originals that actually went up in postive reviews seas…,-1,1,0
153,1623282063100067840,EN,RT @hayanxstalgia: stop milking it now @netflix and accept you made a mistake. reverse the #WarriorNun cancellation or sell the freaking RI…,-2,1,-1
154,1623282009157275651,EN,"@WarriorGranny01 @netflix They might be planning something grand 🤞

NETFLIX BRING BACK OCS
 #SaveWarriorNun #WarriorNun",-1,2,1
155,1623281950365720576,EN,"RT @WnSavior: To throw fuel on the @netflix fire, The Order data team expands the promo story. Because of our love for Uncle Simon and good…",-1,3,1
156,1623281939821068288,EN,"RT @losientocookie: still waiting @netflix

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun https://t.co/mrecL0xmax",-1,2,1
158,1623281908498202624,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
161,1623281866122969088,EN,@sunny83331426 @maxinechunkel @netflix Already saw people doing that…,-1,1,0
162,1623281859403841536,EN,"RT @netflix: Eight months later and this reveal in The Sea Beast still sends a chill up my spine, @JustChris https://t.co/E9MaFWcWeQ",-1,1,0
165,1623281814868467712,EN,RT @SkiiwalkerTweet: Went down to The Stone Quarry today.. 2/14 will be a day for all of us to come together and show just how strong we ar…,-1,1,0
166,1623281799781822464,EN,"RT @neidejosepaixao: If i hear that @netflix guy say one more time that we are a small audience, ill get a ticket to USA and do some damage…",-2,1,-1
167,1623281796506091520,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
169,1623281777321168896,EN,@netflix Renew Warrior Nun! #SaveWarriorNun https://t.co/zscvzLhFzq,-1,2,1
170,1623281771209973761,EN,"Don’t forget to keep streaming /rewatching #lockwoodandco!!! Week 3 is important in deciding the renewal status so keep it up everyone!! Keep spreading the word!! ⚔️❤️⚔️

#LockwoodAndCo #renewlockwoodandco @NetflixUK @netflix",-1,2,1
172,1623281744865632259,EN,RT @TheNuGeekz: I highly encourage everyone who's interested in the new #SellZSJLtoNetflix movement to click @sylabdul's link below about w…,-1,2,1
173,1623281732232548352,EN,"RT @ChaEunwooINTL: True Beauty continues to be insanely popular ranking Global Top8 on @netflix

@NetflixKR IG post on #TrueBeauty with #Ch…",-1,2,1
